chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.533,0.004348,4.348,0.015,100.0,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,16.614,0.001479,1.479,0.025,100.0,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.163,0.000939,0.939,,63.5,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.406,0.003338,3.338,0.061,100.0,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,50.97,0.001205,1.205,,36.11,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,cc62c2b0e5a51d135c764ab1ecd0a0c92004e6bf,1cbc997c2c19757c6054b7860b81ac2f,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.978,0.006968,6.968,0.209,100.0,
