chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),wall_us,throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,wall_relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.584,43.853,0.004286,4.286,0.015,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,15.898,40.602,0.001546,1.546,0.025,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.035,26.675,0.000944,0.944,,61.06,152.21,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.637,39.475,0.003297,3.297,0.061,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,51.021,51.686,0.001204,1.204,,36.53,76.37,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.747,60.39,0.007022,7.022,0.209,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,140.416,140.211,0.001488,1.488,,21.18,43.07,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,53.888,60.416,0.014822,14.822,0.799,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,torch,pass,,,177.818,157.901,0.004492,4.492,,30.31,38.26,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,0945e13370b6d0c0c6deefadeaa6ebf5,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,84.173,86.938,0.018832,18.832,1.585,100.0,100.0,
