chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),wall_us,throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,wall_relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.558,41.293,0.004317,4.317,0.015,100.0,100.0,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,,,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,16.077,39.629,0.001529,1.529,0.025,100.0,100.0,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.163,26.752,0.000939,0.939,,61.45,148.13,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.381,48.512,0.003343,3.343,0.061,100.0,100.0,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,51.123,51.302,0.001202,1.202,,35.95,94.56,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.85,41.754,0.006998,6.998,0.209,100.0,100.0,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,140.57,140.186,0.001486,1.486,,21.23,29.78,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,352554afa7bc6e65b7117177df0eea6caf68ec9c,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,53.709,57.318,0.014871,14.871,0.799,100.0,100.0,
