chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.43,0.004478,4.478,0.015,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,16.205,0.001517,1.517,0.025,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.342,0.000933,0.933,,61.52,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.355,0.003347,3.347,0.061,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,51.046,0.001204,1.204,,35.96,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.44,0.007096,7.096,0.209,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,140.416,0.001488,1.488,,20.97,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,54.067,0.014773,14.773,0.799,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,torch,pass,,,179.43,0.004451,4.451,,30.13,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,84.787,0.018696,18.696,1.585,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,torch,pass,,,216.653,0.007317,7.317,,39.13,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,82.33,0.038358,38.358,3.158,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,torch,pass,,,266.624,0.011844,11.844,,30.88,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,81.05,0.077776,77.776,6.304,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,torch,pass,,,303.642,0.02076,20.76,,26.69,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,110.464,0.114021,114.021,12.595,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,381.03,0.033056,33.056,,28.99,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,5.888,0.111304,111.304,0.655,100.0,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1000,MetaX C500,104,8209ec7cb055c8fb956ecff8a50258d93f5c8749,93cf3c4de5dc698af48ec9465f71df7d,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
