chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.558,0.004317,4.317,0.015,100.0,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,16.742,0.001468,1.468,0.025,100.0,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.291,0.000935,0.935,,63.68,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.483,0.003324,3.324,0.061,100.0,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,51.174,0.001201,1.201,,36.12,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.978,0.006968,6.968,0.209,100.0,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,140.595,0.001486,1.486,,21.32,
MetaX_C500,MetaX C500,104,a6494f87654436e9775edfe8ed763c26385eeac5,e550877d2aac606d9b74ed5882de0076,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
