chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,2.406,0.006384,6.384,0.015,100.0,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference arm needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,10.906,0.002253,2.253,0.025,100.0,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,22.682,0.001084,1.084,,48.08,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,11.418,0.005381,5.381,0.061,100.0,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,37.197,0.001652,1.652,,30.7,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,17.971,0.011624,11.624,0.209,100.0,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,91.776,0.002276,2.276,,19.58,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,33.382,0.023927,23.927,0.799,100.0,
metax_xcore1600,MetaX C600-U,32,2540f0a808bbb59302cbbc3d03df92b76249b163,d77081328216471206ea8b764f7155ac,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,torch,pass,,,143.027,0.005584,5.584,,23.34,
