chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),wall_us,throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,wall_relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,82.099,117.939,0.038466,38.466,3.158,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,torch,pass,,,262.682,248.73,0.012022,12.022,,31.25,47.42,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,81.152,122.829,0.077678,77.678,6.304,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,torch,pass,,,303.514,281.549,0.020769,20.769,,26.74,43.63,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,110.08,161.254,0.114419,114.419,12.595,100.0,100.0,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,381.773,356.07,0.032991,32.991,,28.83,45.29,
MetaX_C500,MetaX C500,104,21900dac6a534609ea05aa3acd070ce3a25d674f,d9fa0a45925d9b5c97b0155944f2b2ba,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,,,
